id;nickname;gender;skin;hair;height;tattoo;age;weapon;arrested;convicted;rape;extortion;kidnapping;theft;homicide;arms_trafficking;drug_trafficking;faction;Dc;Bc;Cc;CC;M
RTS7;0;1;1;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;1.0;0.0
H6WM;0;1;3;1;5;0;33;0;1;1;0;0;0;1;0;0;0;0;1.0;1.0;1.0;0.0;0.0
NUUV;1;1;2;1;5;0;32;0;0;0;0;0;0;1;0;0;0;0;0.5;0.0;0.6666666666666666;0.0;0.1428571428571428
WYXQ;1;1;4;3;5;0;32;0;0;0;0;0;0;0;0;0;0;0;0.5;0.0;0.6666666666666666;0.0;0.1428571428571428
AGJV;1;1;1;1;2;0;32;0;1;1;0;0;0;0;1;0;0;0;0.5;0.0;0.6666666666666666;0.0;0.1428571428571428
AUL2;0;1;1;2;2;0;73;0;1;1;0;0;0;0;0;0;1;0;1.0;1.0;1.0;0.0;0.1428571428571428
L3XC;0;1;1;2;2;0;36;0;1;1;0;0;0;0;0;0;1;0;0.5;0.0;0.6666666666666666;0.0;0.1428571428571428
F8LQ;0;1;3;1;1;0;63;1;1;1;0;0;0;0;1;0;0;0;1.0;0.0;1.0;1.0;0.1428571428571428
L3U4;0;1;3;1;3;0;57;1;1;0;0;0;0;0;1;0;0;0;1.0;0.0;1.0;1.0;0.1428571428571428
EWHR;0;1;2;1;2;0;45;1;0;0;0;0;0;0;1;0;0;0;1.0;0.0;1.0;1.0;0.1428571428571428
OJVF;1;1;3;0;5;0;31;0;0;0;0;0;0;1;0;0;0;0;0.6666666666666666;0.0;0.75;1.0;0.1428571428571428
I6IN;1;1;4;3;5;0;25;1;0;0;0;0;0;0;1;0;0;0;0.8333333333333333;0.3333333333333333;0.8571428571428571;0.6;0.1428571428571428
K1NA;0;1;1;0;5;0;27;0;1;0;0;0;0;1;0;0;0;0;0.1666666666666666;0.0;0.5;0.0;0.1428571428571428
BMVY;0;1;1;0;5;0;24;1;0;0;0;0;0;0;1;0;0;0;0.1666666666666666;0.0;0.5;0.0;0.1428571428571428
FVX0;0;1;4;3;5;0;27;1;0;0;0;0;0;0;1;0;0;0;0.6666666666666666;0.0;0.75;1.0;0.1428571428571428
PEBS;1;1;1;0;5;0;26;0;0;0;0;0;0;1;0;0;0;0;0.6666666666666666;0.0;0.75;1.0;0.1428571428571428
DPMF;0;1;3;1;5;0;24;0;0;0;0;0;0;1;0;0;0;0;0.8333333333333333;0.3333333333333333;0.8571428571428571;0.6;0.1428571428571428
EDG1;1;1;1;2;5;0;35;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
X0JL;1;1;3;2;5;0;37;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.2857142857142857
Y9PR;1;1;2;1;5;0;34;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
